'FECHA';'COMERCIO/CAJERO';'IMPORTE';'MONEDA';'CONCEPTO';'ESTADO';'SEQ';'Clave_Concepto';'Categoria';'Subcategoria';'Fijo_Variable'
27/08/2016;'SATURN E515 EL\PR';-21,89 €;'EUROS';'Compras.';'PAGADO';861;'SATURN';'Gastos_Compras';'Hobbys';'VARIABLES'
29/08/2016;'E.S.RUBI 9';-43,59 €;'EUROS';'Compras.';'PAGADO';862;'ESRUBI';'Gastos_Ocio y transporte';'Gasolina';'VARIABLES'
29/08/2016;'MERCADONA QUATRE';-128,26 €;'EUROS';'Compras.';'PAGADO';863;'MERCADONA';'Gastos_Compras';'Supermercado';'VARIABLES'
29/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';864;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
30/08/2016;'CAFET.C T PRAT\PR';-3,35 €;'EUROS';'Compras.';'PAGADO';865;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
30/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';866;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
31/08/2016;'REDPIZZA';-21,95 €;'EUROS';'Compras.';'PAGADO';867;'REDPIZZA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
01/09/2016;'CAFET.C T PRAT\PR';-2,70 €;'EUROS';'Compras.';'PAGADO';868;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
01/09/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';869;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
02/09/2016;'CAFET.C T PRAT\PR';-4,10 €;'EUROS';'Compras.';'PAGADO';870;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
02/09/2016;'CINESA PARC VALLE';-13,40 €;'EUROS';'Compras.';'PAGADO';871;'CINESA';'Gastos_Ocio y transporte';'Espectáculos';'VARIABLES'
02/09/2016;'CINESA PARC VALLE';-20,30 €;'EUROS';'Compras.';'PAGADO';872;'CINESA';'Gastos_Ocio y transporte';'Espectáculos';'VARIABLES'
02/09/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';873;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
02/09/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';874;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
03/09/2016;'E.S. RUBI II';-3,00 €;'EUROS';'Compras.';'PAGADO';875;'RUBI';'Gastos_Ocio y transporte';'Gasolina';'VARIABLES'
03/09/2016;'AUTOPISTAS TERR';-2,51 €;'EUROS';'Compras.';'PAGADO';876;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
03/09/2016;'AUTOPISTAS TERR';-2,51 €;'EUROS';'Compras.';'PAGADO';877;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
05/09/2016;'VIENA XALET SABAD';-22,40 €;'EUROS';'Compras.';'PAGADO';878;'VIENA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
05/09/2016;'BON AREA';-18,53 €;'EUROS';'Compras.';'PAGADO';879;'BON';'Gastos_Compras';'Supermercado';'VARIABLES'
05/09/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';880;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
05/09/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';881;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
06/09/2016;'CAFET.C T PRAT\PR';-4,10 €;'EUROS';'Compras.';'PAGADO';882;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
06/09/2016;'CEDIPSA 15838-1 E';-30,00 €;'EUROS';'Compras.';'PAGADO';883;'CEDIPSA';'Gastos_Ocio y transporte';'Gasolina';'VARIABLES'
